ID,Mass,X,Y,Speed,Direction
1,1,457.588,534.005,6,6.23927
2,1,157.825,590,6.7228,4.56373
3,1,663.475,506.81,19,4.79959
4,1,628.143,590,2.21571,-2.31044
5,1,24.9656,590,10.3531,-3.14341
6,1,38.4684,393.939,5,0.779478
7,1,80.0924,274.965,11,6.25749
8,1,568.167,590,9.81384,-3.05482
9,1,198.827,344.394,10,2.86
0,1,53.0663,465.527,17,1.03585
1,1,458.187,558.773,6,6.23927
2,1,157.725,591.491,6.7228,4.56373
3,1,663.64,529.711,19,4.79959
4,1,627.994,591.992,2.21571,-2.31044
5,1,24.9656,590,10.3531,-3.14341
6,1,38.4684,393.939,5,0.779478
7,1,80.0924,274.965,11,6.25749
8,1,568.167,590,9.81384,-3.05482
9,1,198.827,344.394,10,2.86
0,1,53.0663,465.527,17,1.03585
1,1,458.187,558.773,6,6.23927
2,1,157.725,590,6.58834,-4.56373
3,1,663.64,529.711,19,4.79959
4,1,627.994,590,2.17139,2.31044
5,1,23.9303,590,10.1461,3.14341
6,1,38.8241,419.084,5,0.779478
7,1,81.1921,299.73,11,6.25749
8,1,567.189,590,9.61757,3.05482
9,1,197.866,369.465,10,2.86
0,1,53.9329,494.038,17,1.03585
1,1,458.787,585.794,6,6.23927
2,1,157.628,590,6.45658,4.56373
3,1,663.806,554.866,19,4.79959
4,1,627.848,590,2.12797,-2.31044
5,1,22.9157,590,9.94313,-3.14341
6,1,39.1797,446.483,5,0.779478
7,1,82.2917,326.75,11,6.25749
8,1,566.231,590,9.42521,-3.05482
9,1,196.906,396.791,10,2.86
0,1,54.7996,524.9,17,1.03585
1,1,459.386,590,5.88,-6.23927
2,1,157.532,590,6.32745,-4.56373
3,1,663.971,582.373,19,4.79959
4,1,627.704,590,2.08541,2.31044
5,1,21.9214,590,9.74427,3.14341
6,1,39.5354,476.235,5,0.779478
7,1,83.3913,356.122,11,6.25749
8,1,565.292,590,9.23671,3.05482
9,1,195.945,426.469,10,2.86
0,1,54.7996,524.9,17,1.03585
1,1,459.386,590,5.88,-6.23927
2,1,157.532,590,6.32745,-4.56373
3,1,663.971,582.373,19,4.79959
4,1,627.704,590,2.08541,2.31044
5,1,21.9214,590,9.74427,3.14341
6,1,39.5354,476.235,5,0.779478
7,1,83.3913,356.122,11,6.25749
8,1,565.292,590,9.23671,3.05482
9,1,195.945,426.469,10,2.86
0,1,55.6662,558.213,17,1.03585
1,1,459.974,590,5.7624,6.23927
2,1,157.438,590,6.2009,4.56373
3,1,664.137,590,18.62,-4.79959
4,1,627.564,590,2.0437,-2.31044
5,1,20.9469,590,9.54938,-3.14341
6,1,39.891,508.436,5,0.779478
7,1,84.491,387.943,11,6.25749
8,1,564.372,590,9.05198,-3.05482
9,1,194.985,458.597,10,2.86
0,1,56.5329,590,16.66,-1.03585
1,1,460.549,590,5.64715,-6.23927
2,1,157.346,590,6.07688,-4.56373
3,1,664.299,590,18.2476,4.79959
4,1,627.426,590,2.00282,2.31044
5,1,19.992,590,9.3584,3.14341
6,1,40.2467,543.186,5,0.779478
7,1,85.5906,422.313,11,6.25749
8,1,563.47,590,8.87094,3.05482
9,1,194.024,493.273,10,2.86
0,1,57.3822,590,16.6671,0.720697
1,1,461.114,590,5.53421,6.23927
2,1,157.256,590,5.95534,4.56373
3,1,664.458,590,17.8826,-4.79959
4,1,627.291,590,1.96277,-2.31044
5,1,19.0562,590,9.17123,-3.14341
6,1,40.6023,580.581,1.1519,2.5716
7,1,86.6903,459.329,11,6.25749
8,1,562.586,590,8.69352,-3.05482
9,1,193.063,530.595,10,2.86
0,1,57.3822,590,16.6671,0.720697
1,1,461.114,590,5.53421,6.23927
2,1,157.256,590,5.95534,4.56373
3,1,664.458,590,17.8826,-4.79959
4,1,627.291,590,1.96277,-2.31044
5,1,19.0562,590,9.17123,-3.14341
6,1,40.6023,580.581,1.1519,2.5716
7,1,86.6903,459.329,11,6.25749
8,1,562.586,590,8.69352,-3.05482
9,1,193.063,530.595,10,2.86
0,1,58.6345,590,16.3338,-0.720697
1,1,461.666,590,5.42353,-6.23927
2,1,157.168,590,5.83624,-4.56373
3,1,664.614,590,17.525,4.79959
4,1,627.159,590,1.92351,2.31044
5,1,18.139,590,8.9878,3.14341
6,1,40.5053,583.387,1.1519,2.5716
7,1,87.7899,499.089,11,6.25749
8,1,561.72,590,8.51965,3.05482
9,1,192.103,570.661,10,2.86
0,1,59.8617,590,11.9183,1.50194
1,1,462.208,590,5.31505,6.23927
2,1,157.082,590,5.71951,4.56373
3,1,664.766,590,17.1745,-4.79959
4,1,627.029,590,1.88504,-2.31044
5,1,17.2403,590,8.80805,-3.14341
6,1,40.4083,589.036,10.4689,0.209642
7,1,88.8895,541.69,11,6.25749
8,1,560.871,590,8.34925,-3.05482
9,1,191.142,590,9.8,-2.86
0,1,59.9437,590,15.07,-0.949531
1,1,462.739,590,5.20875,-6.23927
2,1,156.997,590,5.60512,-4.56373
3,1,664.916,590,16.831,4.79959
4,1,626.902,590,1.84734,2.31044
5,1,16.3595,590,8.63189,3.14341
6,1,41.4323,590,2.23702,-0.597006
7,1,89.9892,587.232,11,6.25749
8,1,560.039,590,8.18227,3.05482
9,1,190.201,590,9.604,2.86
0,1,59.9437,590,15.07,-0.949531
1,1,462.739,590,5.20875,-6.23927
2,1,156.997,590,5.60512,-4.56373
3,1,664.916,590,16.831,4.79959
4,1,626.902,590,1.84734,2.31044
5,1,16.3595,590,8.63189,3.14341
6,1,41.4323,590,2.23702,-0.597006
7,1,89.9892,587.232,11,6.25749
8,1,560.039,590,8.18227,3.05482
9,1,190.201,590,9.604,2.86
0,1,60.8209,590,11.4177,1.46587
1,1,463.26,590,5.10458,6.23927
2,1,156.914,590,5.49302,4.56373
3,1,665.062,590,16.4944,-4.79959
4,1,626.777,590,1.81039,-2.31044
5,1,15.4963,590,8.45925,-3.14341
6,1,41.6173,590,9.15024,0.178171
7,1,91.0888,590,10.78,-6.25749
8,1,559.224,590,8.01863,-3.05482
9,1,189.278,590,9.41192,-2.86
0,1,60.9405,590,13.9031,-0.945731
1,1,463.77,590,5.00249,-6.23927
2,1,156.833,590,5.38316,-4.56373
3,1,665.206,590,16.1645,4.79959
4,1,626.655,590,1.77419,2.31044
5,1,14.6504,590,8.29006,3.14341
6,1,42.5179,590,2.04296,-0.620781
